DATE,CPIAUCSL
2013/4/1,231.797
2013/5/1,231.893
2013/6/1,232.445
2013/7/1,232.9
2013/8/1,233.456
2013/9/1,233.544
2013/10/1,233.669
2013/11/1,234.1
2013/12/1,234.719
2014/1/1,235.288
2014/2/1,235.547
2014/3/1,236.028
2014/4/1,236.468
2014/5/1,236.918
2014/6/1,237.231
2014/7/1,237.498
2014/8/1,237.46
2014/9/1,237.477
2014/10/1,237.43
2014/11/1,236.983
2014/12/1,236.252
2015/1/1,234.747
2015/2/1,235.342
2015/3/1,235.976
2015/4/1,236.222
2015/5/1,237.001
2015/6/1,237.657
2015/7/1,238.034
2015/8/1,238.033
2015/9/1,237.498
2015/10/1,237.733
2015/11/1,238.017
2015/12/1,237.761
2016/1/1,237.652
2016/2/1,237.336
2016/3/1,238.08
2016/4/1,238.992
2016/5/1,239.557
2016/6/1,240.222
2016/7/1,240.101
2016/8/1,240.545
2016/9/1,241.176
2016/10/1,241.741
2016/11/1,242.026
2016/12/1,242.637
2017/1/1,243.618
2017/2/1,244.006
2017/3/1,243.892
2017/4/1,244.193
2017/5/1,244.004
2017/6/1,244.163
2017/7/1,244.243
2017/8/1,245.183
2017/9/1,246.435
2017/10/1,246.626
2017/11/1,247.284
2017/12/1,247.805
2018/1/1,248.859
2018/2/1,249.529
2018/3/1,249.577
2018/4/1,250.227
2018/5/1,250.792
2018/6/1,251.018
2018/7/1,251.214
2018/8/1,251.663
2018/9/1,252.182
2018/10/1,252.772
2018/11/1,252.594
2018/12/1,252.767
2019/1/1,252.561
2019/2/1,253.319
2019/3/1,254.277
2019/4/1,255.233
2019/5/1,255.296
2019/6/1,255.213
2019/7/1,255.802
2019/8/1,256.036
2019/9/1,256.43
2019/10/1,257.155
2019/11/1,257.879
2019/12/1,258.63
2020/1/1,259.127
2020/2/1,259.25
2020/3/1,258.076
2020/4/1,256.032
2020/5/1,255.802
2020/6/1,257.042
2020/7/1,258.352
2020/8/1,259.316
2020/9/1,259.997
2020/10/1,260.319
2020/11/1,260.911
2020/12/1,262.045
2021/1/1,262.639
2021/2/1,263.573
2021/3/1,264.847
2021/4/1,266.625
2021/5/1,268.404
2021/6/1,270.71
2021/7/1,271.965
