DATE,HIGH,CLOSE
2013-04-29,13.94,13.71
2013-04-30,14.28,13.52
2013-05-01,14.67,14.49
2013-05-02,14.48,13.59
2013-05-03,13.15,12.85
2013-05-06,13.19,12.66
2013-05-07,12.96,12.83
2013-05-08,13.04,12.66
2013-05-09,13.53,13.13
2013-05-10,13.45,12.59
2013-05-13,12.87,12.55
2013-05-14,13.21,12.77
2013-05-15,13.43,12.81
2013-05-16,13.46,13.07
2013-05-17,12.94,12.45
2013-05-20,13.28,13.02
2013-05-21,13.44,13.37
2013-05-22,14.45,13.82
2013-05-23,15.11,14.07
2013-05-24,14.79,13.99
2013-05-28,14.56,14.48
2013-05-29,15.65,14.83
2013-05-30,14.98,14.53
2013-05-31,16.35,16.3
2013-06-03,17.58,16.28
2013-06-04,17.25,16.27
2013-06-05,17.84,17.5
2013-06-06,18.51,16.63
2013-06-07,16.21,15.14
2013-06-10,15.6,15.44
2013-06-11,17.14,17.07
2013-06-12,18.6,18.59
2013-06-13,18.58,16.41
2013-06-14,17.26,17.15
2013-06-17,17.62,16.8
2013-06-18,16.95,16.61
2013-06-19,17.18,16.64
2013-06-20,21.32,20.49
2013-06-21,20.93,18.9
2013-06-24,21.91,20.11
2013-06-25,19.22,18.47
2013-06-26,18.06,17.21
2013-06-27,16.97,16.86
2013-06-28,17.69,16.86
2013-07-01,16.9,16.37
2013-07-02,16.93,16.44
2013-07-03,17.32,16.2
2013-07-05,16.28,14.89
2013-07-08,15.27,14.78
2013-07-09,14.65,14.35
2013-07-10,14.62,14.21
2013-07-11,14.2,14.01
2013-07-12,14.04,13.84
2013-07-15,14.11,13.79
2013-07-16,14.56,14.42
2013-07-17,14.44,13.78
2013-07-18,13.8,13.77
2013-07-19,13.97,12.54
2013-07-22,13.37,12.29
2013-07-23,13.06,12.66
2013-07-24,13.49,13.18
2013-07-25,13.54,12.97
2013-07-26,13.73,12.72
2013-07-29,13.86,13.39
2013-07-30,14.14,13.39
