Date,CPIAUCSL,DTWEXBGS,RIFSPFF_N.D,PCEPI,Close,High,Low,Volume,US3Y,US10Y,HIGH,CLOSE,sen_svc_positive,sen_svc_neutral,sen_svc_negative,sen_trans_positive,sen_trans_neutral,sen_trans_negative
2013-04-01,231.797,91.6539,0.13,95.391,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,0,2,0,2,0,0
2013-04-02,231.8002,91.6539,0.13,95.39333333333335,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,2,1,1,0,4,0
2013-04-03,231.8034,91.6539,0.13,95.39566666666667,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,1,3,0,3,1,0
2013-04-04,231.8066,91.6539,0.13,95.39800000000001,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,0,2,1,2,1,0
2013-04-05,231.8098,91.6539,0.13,95.40033333333334,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,3,0,0,1,2,0
2013-04-06,231.813,91.6539,0.13,95.40266666666668,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,0,1,0,0,1,0
2013-04-07,231.8162,91.6539,0.13,95.405,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,1,1,0,0,2,0
2013-04-08,231.8194,91.6539,0.13,95.40733333333334,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,2,0,2,2,1,1
2013-04-09,231.8226,91.6539,0.13,95.40966666666667,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,1,1,1,1,2,0
2013-04-10,231.8258,91.6539,0.13,95.412,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,2,2,0,2,2,0
2013-04-11,231.829,91.6539,0.13,95.41433333333333,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,0,2,1,0,3,0
2013-04-12,231.8322,91.6539,0.13,95.41666666666667,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,1,2,0,0,3,0
2013-04-13,231.8354,91.6539,0.13,95.419,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,1,0,1,0,2,0
2013-04-14,231.83859999999999,91.6539,0.13,95.42133333333334,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,2,0,0,0,2,0
2013-04-15,231.8418,91.6539,0.13,95.42366666666666,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,0,3,1,1,3,0
2013-04-16,231.845,91.6539,0.13,95.426,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,3,1,0,0,3,1
2013-04-17,231.8482,91.6539,0.13,95.42833333333334,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,2,1,0,0,2,1
2013-04-18,231.8514,91.6539,0.13,95.43066666666667,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,1,2,0,1,2,0
2013-04-19,231.8546,91.6539,0.13,95.433,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,2,1,0,0,2,1
2013-04-20,231.8578,91.6539,0.13,95.43533333333333,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,2,0,0,1,0,1
2013-04-21,231.861,91.6539,0.13,95.43766666666667,1593.6099853515625,1596.6500244140625,1582.3399658203125,2891200000.0,0.32,1.7,13.94,13.71,0,1,0,0,1,0
