year,month,day,positive,neutral,negative
2013,4,1,2,0,0
2013,4,2,0,4,0
2013,4,3,3,1,0
2013,4,4,2,1,0
2013,4,5,1,2,0
2013,4,6,0,1,0
2013,4,7,0,2,0
2013,4,8,2,1,1
2013,4,9,1,2,0
2013,4,10,2,2,0
2013,4,11,0,3,0
2013,4,12,0,3,0
2013,4,13,0,2,0
2013,4,14,0,2,0
2013,4,15,1,3,0
2013,4,16,0,3,1
2013,4,17,0,2,1
2013,4,18,1,2,0
2013,4,19,0,2,1
2013,4,20,1,0,1
2013,4,21,0,1,0
2013,4,22,1,2,0
2013,4,23,2,1,0
2013,4,24,0,3,0
2013,4,25,2,1,0
2013,4,26,1,2,0
2013,4,27,0,1,0
2013,4,28,0,2,0
2013,4,29,0,2,1
2013,4,30,3,0,0
2013,5,1,0,3,0
2013,5,2,2,2,0
2013,5,3,1,2,1
2013,5,4,1,1,0
2013,5,5,1,1,0
2013,5,6,1,2,0
2013,5,7,2,2,0
2013,5,8,1,3,0
2013,5,9,2,1,1
2013,5,10,1,2,0
2013,5,11,0,2,0
2013,5,12,2,0,0
2013,5,13,2,1,0
2013,5,14,1,3,0
2013,5,15,1,3,0
2013,5,16,2,1,0
2013,5,17,1,2,0
2013,5,18,0,1,0
2013,5,19,0,2,0
2013,5,20,1,2,0
2013,5,21,0,3,0
2013,5,22,1,3,0
2013,5,23,0,4,0
2013,5,24,0,3,1
2013,5,25,1,1,0
2013,5,26,0,2,0
2013,5,27,2,1,0
2013,5,28,0,4,0
2013,5,29,2,2,0
2013,5,30,2,2,0
2013,5,31,2,1,0
2013,6,1,1,1,0
2013,6,2,1,1,0
2013,6,3,0,4,0
2013,6,4,2,2,0
2013,6,5,1,3,0
2013,6,6,0,3,0
2013,6,7,1,3,0
2013,6,8,2,0,0
2013,6,9,1,1,0
2013,6,10,2,2,0
2013,6,11,2,2,0
2013,6,12,2,2,0
2013,6,13,3,4,0
2013,6,14,5,2,0
2013,6,15,1,3,0
2013,6,16,2,1,1
2013,6,17,4,4,0
2013,6,18,3,4,0
2013,6,19,3,5,0
2013,6,20,3,5,0
2013,6,21,4,4,1
2013,6,22,4,1,0
2013,6,23,3,2,0
2013,6,24,4,3,0
2013,6,25,1,5,1
2013,6,26,2,4,0
2013,6,27,5,4,0
2013,6,28,3,6,0
2013,6,29,1,5,0
2013,6,30,1,5,0
2013,7,1,2,3,1
2013,7,2,3,7,0
2013,7,3,6,3,1
2013,7,4,5,3,0
2013,7,5,3,4,0
2013,7,6,2,3,0
2013,7,7,2,2,0
2013,7,8,2,6,0
2013,7,9,4,3,1
2013,7,10,3,4,1
2013,7,11,5,4,0
2013,7,12,2,7,0
2013,7,13,0,5,0
2013,7,14,2,2,0
2013,7,15,0,6,2
2013,7,16,3,5,1
2013,7,17,4,4,1
2013,7,18,3,7,1
2013,7,19,2,7,0
2013,7,20,2,3,0
2013,7,21,2,2,0
2013,7,22,1,6,1
2013,7,23,1,6,0
2013,7,24,6,3,0
2013,7,25,1,6,2
2013,7,26,1,9,0
2013,7,27,1,3,0
2013,7,28,2,2,0
2013,7,29,3,5,0
2013,7,30,4,5,0
2013,7,31,1,10,0
2013,8,1,5,5,0
2013,8,2,4,7,0
2013,8,3,3,4,0
2013,8,4,3,3,0
2013,8,5,6,3,0
2013,8,6,3,8,0
2013,8,7,3,8,0
2013,8,8,3,7,1
2013,8,9,4,4,0
2013,8,10,2,4,0
2013,8,11,4,3,0
