date,US3Y,US10Y
2013-04-29,0.32,1.7
2013-04-30,0.32,1.7
2013-05-01,0.3,1.66
2013-05-02,0.3,1.66
2013-05-03,0.34,1.78
2013-05-06,0.34,1.8
2013-05-07,0.35,1.82
2013-05-08,0.35,1.81
2013-05-09,0.35,1.81
2013-05-10,0.38,1.9
2013-05-13,0.4,1.92
2013-05-14,0.41,1.96
2013-05-15,0.4,1.94
2013-05-16,0.37,1.87
2013-05-17,0.4,1.95
2013-05-20,0.4,1.97
2013-05-21,0.39,1.94
2013-05-22,0.41,2.03
2013-05-23,0.42,2.02
2013-05-24,0.41,2.01
2013-05-28,0.49,2.15
2013-05-29,0.49,2.13
2013-05-30,0.49,2.13
2013-05-31,0.52,2.16
2013-06-03,0.5,2.13
2013-06-04,0.48,2.14
2013-06-05,0.48,2.1
2013-06-06,0.48,2.08
2013-06-07,0.52,2.17
2013-06-10,0.55,2.22
2013-06-11,0.57,2.2
2013-06-12,0.57,2.25
2013-06-13,0.55,2.19
2013-06-14,0.49,2.14
2013-06-17,0.49,2.19
2013-06-18,0.48,2.2
2013-06-19,0.58,2.33
2013-06-20,0.62,2.41
2013-06-21,0.7,2.52
2013-06-24,0.73,2.57
2013-06-25,0.74,2.6
2013-06-26,0.69,2.55
2013-06-27,0.66,2.49
2013-06-28,0.66,2.52
2013-07-01,0.65,2.5
2013-07-02,0.64,2.48
2013-07-03,0.67,2.52
2013-07-05,0.77,2.73
2013-07-08,0.71,2.65
2013-07-09,0.71,2.65
2013-07-10,0.73,2.7
2013-07-11,0.65,2.6
2013-07-12,0.66,2.61
2013-07-15,0.66,2.57
2013-07-16,0.64,2.55
2013-07-17,0.6,2.52
2013-07-18,0.61,2.56
2013-07-19,0.59,2.5
2013-07-22,0.59,2.5
2013-07-23,0.6,2.53
2013-07-24,0.64,2.61
2013-07-25,0.62,2.61
2013-07-26,0.59,2.58
2013-07-29,0.61,2.61
2013-07-30,0.62,2.63
2013-07-31,0.61,2.6
2013-08-01,0.65,2.74
2013-08-02,0.59,2.63
2013-08-05,0.61,2.67
2013-08-06,0.62,2.67
2013-08-07,0.61,2.61
2013-08-08,0.61,2.58
2013-08-09,0.61,2.57
2013-08-12,0.62,2.61
2013-08-13,0.68,2.71
2013-08-14,0.67,2.71
2013-08-15,0.7,2.77
2013-08-16,0.73,2.84
2013-08-19,0.76,2.88
2013-08-20,0.73,2.82
2013-08-21,0.76,2.87
2013-08-22,0.82,2.9
2013-08-23,0.8,2.82
2013-08-26,0.79,2.79
2013-08-27,0.77,2.72
2013-08-28,0.79,2.78
2013-08-29,0.79,2.75
2013-08-30,0.79,2.78
2013-09-03,0.83,2.86
2013-09-04,0.89,2.9
2013-09-05,0.97,2.98
2013-09-06,0.91,2.94
2013-09-09,0.87,2.9
2013-09-10,0.92,2.96
2013-09-11,0.88,2.93
2013-09-12,0.87,2.92
2013-09-13,0.87,2.9
2013-09-16,0.8,2.88
2013-09-17,0.78,2.86
2013-09-18,0.67,2.69
2013-09-19,0.69,2.76
2013-09-20,0.69,2.75
2013-09-23,0.68,2.72
2013-09-24,0.67,2.67
2013-09-25,0.66,2.63
2013-09-26,0.67,2.66
2013-09-27,0.64,2.64
2013-09-30,0.63,2.64
2013-10-01,0.66,2.66
2013-10-02,0.62,2.63
2013-10-03,0.61,2.62
2013-10-04,0.66,2.66
2013-10-07,0.66,2.65
2013-10-08,0.7,2.66
2013-10-09,0.68,2.68
2013-10-10,0.68,2.71
2013-10-11,0.66,2.7
2013-10-15,0.68,2.75
2013-10-16,0.64,2.69
2013-10-17,0.61,2.61
2013-10-18,0.62,2.6
2013-10-21,0.63,2.63
2013-10-22,0.59,2.54
2013-10-23,0.6,2.51
2013-10-24,0.59,2.53
2013-10-25,0.59,2.53
2013-10-28,0.59,2.54
2013-10-29,0.59,2.53
2013-10-30,0.58,2.55
2013-10-31,0.57,2.57
2013-11-01,0.61,2.65
2013-11-04,0.6,2.63
2013-11-05,0.6,2.69
2013-11-06,0.58,2.67
2013-11-07,0.55,2.63
2013-11-08,0.62,2.77
2013-11-12,0.65,2.8
2013-11-13,0.61,2.75
2013-11-14,0.56,2.69
2013-11-15,0.58,2.71
2013-11-18,0.56,2.67
2013-11-19,0.58,2.71
2013-11-20,0.57,2.8
2013-11-21,0.55,2.79
2013-11-22,0.57,2.75
2013-11-25,0.57,2.74
2013-11-26,0.55,2.71
2013-11-27,0.55,2.74
2013-11-29,0.56,2.75
2013-12-02,0.59,2.81
2013-12-03,0.58,2.79
2013-12-04,0.6,2.84
2013-12-05,0.61,2.88
2013-12-06,0.64,2.88
2013-12-09,0.64,2.86
2013-12-10,0.62,2.81
2013-12-11,0.63,2.86
2013-12-12,0.67,2.89
2013-12-13,0.68,2.88
2013-12-16,0.68,2.89
2013-12-17,0.65,2.85
2013-12-18,0.64,2.89
2013-12-19,0.7,2.94
2013-12-20,0.74,2.89
2013-12-23,0.77,2.94
2013-12-24,0.8,2.99
2013-12-26,0.81,3.0
2013-12-27,0.79,3.02
2013-12-30,0.77,2.99
2013-12-31,0.78,3.04
2014-01-02,0.76,3.0
2014-01-03,0.8,3.01
2014-01-06,0.78,2.98
2014-01-07,0.8,2.96
2014-01-08,0.87,3.01
2014-01-09,0.86,2.97
2014-01-10,0.77,2.88
2014-01-13,0.74,2.84
2014-01-14,0.78,2.88
2014-01-15,0.81,2.9
2014-01-16,0.8,2.86
2014-01-17,0.79,2.84
2014-01-21,0.81,2.85
2014-01-22,0.85,2.87
2014-01-23,0.77,2.79
2014-01-24,0.75,2.75
2014-01-27,0.76,2.78
2014-01-28,0.75,2.77
2014-01-29,0.71,2.69
2014-01-30,0.72,2.72
2014-01-31,0.69,2.67
2014-02-03,0.64,2.61
2014-02-04,0.65,2.64
2014-02-05,0.66,2.7
2014-02-06,0.69,2.73
2014-02-07,0.66,2.71
2014-02-10,0.66,2.7
2014-02-11,0.71,2.75
2014-02-12,0.74,2.8
2014-02-13,0.7,2.73
2014-02-14,0.71,2.75
2014-02-18,0.67,2.71
2014-02-19,0.69,2.73
2014-02-20,0.72,2.76
2014-02-21,0.71,2.73
2014-02-24,0.72,2.75
2014-02-25,0.7,2.7
2014-02-26,0.68,2.67
2014-02-27,0.68,2.65
2014-02-28,0.69,2.66
2014-03-03,0.66,2.6
2014-03-04,0.71,2.7
2014-03-05,0.71,2.7
2014-03-06,0.73,2.74
2014-03-07,0.79,2.8
2014-03-10,0.79,2.79
2014-03-11,0.79,2.77
2014-03-12,0.78,2.73
2014-03-13,0.74,2.66
2014-03-14,0.74,2.65
2014-03-17,0.77,2.7
2014-03-18,0.75,2.68
2014-03-19,0.91,2.78
2014-03-20,0.9,2.79
2014-03-21,0.91,2.75
2014-03-24,0.93,2.74
2014-03-25,0.92,2.75
2014-03-26,0.89,2.71
2014-03-27,0.9,2.69
2014-03-28,0.93,2.73
2014-03-31,0.9,2.73
2014-04-01,0.91,2.77
2014-04-02,0.94,2.82
2014-04-03,0.95,2.8
2014-04-04,0.89,2.74
2014-04-07,0.87,2.71
2014-04-08,0.88,2.69
2014-04-09,0.85,2.71
2014-04-10,0.81,2.65
2014-04-11,0.8,2.63
2014-04-14,0.82,2.65
2014-04-15,0.84,2.64
2014-04-16,0.87,2.65
2014-04-17,0.91,2.73
2014-04-21,0.91,2.73
2014-04-22,0.93,2.73
2014-04-23,0.91,2.7
2014-04-24,0.91,2.7
